 Cluster ID , Title , Volume , Scribe (Sch\-lüter) , Scribe (Dun\-can)  
 12 , Longes Chonaill Chuirc , 5 , F , F 
 12 , Nuallguba Emire , 2 , U , U 
 12 , Ossin Ogum i llia lia úas lecht , 3 , U , U 
 12 , Ri irissech ro boí do Grecaib ,  5 , F , F 
 12 , Scél mucci Meic Da Thó ,  2 , U , U 
 12 , Scéla Chonchobuir ,  2 , F , F
 12 , Tech Midchúarda , 1 , T , T1 
 12 , Triar macclerech , 5 , F , F  
 13 , Bórama , 5 , S , S 
 13 , Cath Maige Mucrima , 5 , F (+ S) , F + S 
 13 , Cogad Gaedel re Gallaib , 5 , T , T2 
 13 , Cormac mac Culennain Iarfaiged nech acaib dam , 1 , T , T1 
 13 , De Chophur in da Muccida , 5 , F , F 
 13 , Do fallsigud Tána Bó Cualnge , 5 , F , F 
 13 , Incipit Cath Ruis na Ríg , 4 , A , A
 13 , Incipit de maccaib Conaire , 5 , S , S
 13 , Longes mac nUsnig , 5 , U (+ M) , U (+ M)
 13 , Luid Feidilmid Rechtaid ó Themair do sáerchuaird for Laigniu , 1 , A + T + 2 , T1 (over A) 
 13 , Medb Lethderg Macc Moga Corbb celas clú , 1 , A , A 
 13 , Mesca Ulad , 5 , M , M 
 13 , Na Trí Fothaid , 4 , A , A 
 13 , Scél Niall Frossach , 5 , F + A , A 
 13 , Temaile fáid Miled Espáin , 4 , A , A 
 13 , Tochmarc Ferbae , 5 , U , U 
 13 , Trí Dé Donand , 1 , T , T1 
 13 , Túarastla Rosa Failgi , 1 , A + T + 2 , A 
 13 , Óenach Talten , 5 , F + A , A  
 14 , Aní doronsat do chalmu clanna Eogain , 4 , U , U
 14 , Ascnam ni seol sadal , 4 , U , U 
 14 , Dallán mac Móre Cerball Currig cáemLife , 1 , A , A 
 14 , Esnada tige buchet , 5 , F , F 
 14 , Fingal Ronain , 5 , F (+ A) , F  
 15 , Gormlaith ingen Flain cia dír do chlérchib na cell , 1 , A , A 
 16 , Augaine Már mac ríg Hérend , 1 , A(?) , A 
 16 , Connachta cid dia tá in t-ainm , 1 , T , T1 
 16 , Dallán mac Móre Cormac Femin Fogertach , 1 , A + T + 2 , T2 (over A)
 16 , Guidim Comdid cumachtach , 1 , A , A  
 17 , A Chormaic coisc do maicni , 3 , U , U
 17 , Brandub mac Echach , 1 , A , A 
 17 , Fithal ⁊ Cormac Níba mé linfes do neoch dara thráth , 3 , U , U  
 18 , A Maccáin ná cí , 3 , U , U
 18 , Ailill Ólomm beir mo scíath fri úath , 3 , U , U 
 18 , Audacht Morainn , 5 , S , S 
 18 , Ciaran cecinit , 6 , A , A 
 18 , Dubthach hua Lugair Crimthan clothrí cóicid Hérend , 1 , A , A 
 18 , Fothart for trebaib Con Corbb , 1 , A(?) , A 
 18 , Orthanach húa Cáellama A Chóicid chóem Chairpri chrúaid , 1 , A , A 
 18 , Trefocul , 1 , T , T2  
 19 , Cinaed úa hArtacain a cholch thall for elaid úair , 3 , U 
 19 , Feidlimid athair Echach , 1 , A(?) , A 
 19 , Mo Lling Rochúala la nech légas libru , 3 , U 
 19 , Slan seiss a Brigit co mbuaid , 1 , A , A
 19 , Turim Tigi Temrach , 1 , T , T2  
 20 , Cinti crábuid gnathaigthe scoile Sinchil , 6 , A , A 
 21 , A ben bennacht fort na raid , 5 , F , F 
 21 , Aided Cheltchair meic Uthechair , 2 , U , U 
 21 , Aided Guill meic Carbada ⁊ Aided Gairb Glinne Rigi , 2 , U , U 
 21 , Aigidecht Aithirne , 2 , U , U 
 21 , Baí rí amra de Grécaib Salemón a ainm , 5 , F , F 
 21 , Beochobra Con Culaind isind ló fúair bás , 2 , U , U
 21 , Brislech Mór Maige Muirthemni , 2 , U , U 
 21 , Caillech dorat a mac dósum do MLing , 5 , (F?) , F 
 21 , Cath Carn Chonaill , 5 , F , F 
 21 , Cummíne Fota mac Fiachnai di Eoganacht Chassil , 5 , A , F 
 21 , Cóica epscop dodeochatar dochum MOedoc Ferna do Bretnaib Cille Muine , 5 , F , F 
 21 , Dialogue between Brendan and Moínenn , 6 , A , A 
 21 , Diarmait mac Cerbaill mairg thocheas rí clerchib ceil , 3 , U , U 
 21 , Echtra Laegaire meic Crimthainn , 5 , F , F 
 21 , Epscop do Gaedelaib dochoid do Róim , 5 , F , F 
 21 , Fechtas do Mling is Tóidin co n-acca Mael Doborchon , 5 , (F?) , F 
 21 , Fechtas dósom oc ernaigthi ina eclais , 5 , (F?) , F 
 21 , Fland Manistrech Inn eól dúib in senchas sen , 3 , U , U 
 21 , Fland Mugain ingen Chonchraid chain , 3 , U , U 
 21 , Iartaige na hingine colaige do Grécaib , 5 , F , F 
 21 , Immacallam in dá Thúarad , 4 , U , U 
 21 , Luid Mael Ruain Tamlachta fechtas dia airge ,  5 , F , F 
 21 , Mo Lling Luachra dalta do Maehóc Ferna , 5 , (F?) , F 
 21 , Noenden Ulad ⁊ Emuin Macha , 2 , U , U 
 21 , Orgain Dind Ríg , 5 , F , F 
 21 , Senchas Ailiúin Chobthaig , 5 , F , F 
 21 , Sloiged már rucsat Gréic co Hebríb fechtas n-aile , 5 , F , F 
 21 , Story of Athirne and Amairgen son of Ecet Salach and Aigidecht Aithirne , 2 , U , U 
 21 , Talland Etair , 2 , U , U 
 21 , Tréide Cétna Labratar Iarna Genemain , 2 , U , U 
 21 , Táin Bó Fraích , 5 , F , F  
 22 , Cu Chulaind atbert. De aduentu Christi , 2 , U , U 
 22 , Dublitir hua Uathgaile rédig dam a Dé do nim , 3 , U , U
 22 , Fothad na Canone Cert cech ríg co rréil , 3 , U , U 
 22 , Fothad na Canone Eclais Dé bí , 3 , U , U 
 22 , Gilla Cóemáin Annalad anall uile , 3 , U , U 
 22 , Gilla Mo Dutu Ádam óenathair na ndóene , 3 , U , U 
 22 , Gilla in Chomded úa Cormaic a ríg ríchid reidig dam , 3 , U , U 
 22 , Mac Cosse of Ros Ailither Rofessa i curp domuin dúir , 3 , U , U 
 22 , Marb Cairpre Músc co n-áne , 1 , T , T2 
 22 , Messe bad rí réil , 3 , U , U 
 22 , Senchán Torpéist Apair ri sil nEogain Móir , 3 , U , U  
 23 , Buí siur Mo Lassi Lethglinni oc légund i fail Mo Lasse , 5 , F , F 
 23 , Drochcomaithech ro baí i n-ocus dosom , 5 , (F?) , F 
 23 , Días macclerech , 5 , F , F  
 24 , Birth of Brendan , 6 , A , A
 24 , Epscop Ibar , 6 , A , A 
 25 , A bairgen ataí i ngábud , 1 , A , A 
 25 , Broccán Craibdech Lecht Cormaic meic Culennáin , 1 , A , A 
 25 , Cethrur ar fichet nosfail , 6 , A , A 
 25 , Clanna Falge Ruis in ríg , 1 , A , A 
 25 , Cuan Hua Lothchain Temair breg bale na fian , 1 , A , A
 25 , Gilla na Naem Hua Duind Cuiced Lagen na lecht ríg , 1 , A , A 
